JobID|JobIDRaw|JobName|Partition|MaxVMSize|MaxVMSizeNode|MaxVMSizeTask|AveVMSize|MaxRSS|MaxRSSNode|MaxRSSTask|AveRSS|MaxPages|MaxPagesNode|MaxPagesTask|AvePages|MinCPU|MinCPUNode|MinCPUTask|AveCPU|NTasks|AllocCPUS|Elapsed|State|ExitCode|AveCPUFreq|ReqCPUFreqMin|ReqCPUFreqMax|ReqCPUFreqGov|ReqMem|ConsumedEnergy|MaxDiskRead|MaxDiskReadNode|MaxDiskReadTask|AveDiskRead|MaxDiskWrite|MaxDiskWriteNode|MaxDiskWriteTask|AveDiskWrite|AllocGRES|ReqGRES|ReqTRES|AllocTRES|call
1014709.batch|1014709.batch|call-hisat2_ERR2124547_4||3479256K|gattaca6|0|3479256K|2719772K|gattaca6|0|2719772K|8K|gattaca6|0|8K|03:06:40|gattaca6|0|03:06:40|1|4|00:47:38|COMPLETED|0:0|359780K|0|0|0|32768Mn|0|45917M|gattaca6|0|45917M|62242M|gattaca6|0|62242M||||cpu=4,mem=32768,node=1|hisat
1014710.batch|1014710.batch|call-hisat2_ERR2124547_8||3956460K|gattaca15|0|3956460K|2732328K|gattaca15|0|2732328K|7K|gattaca15|0|7K|02:38:01|gattaca15|0|02:38:01|1|8|00:20:25|COMPLETED|0:0|221188K|0|0|0|32768Mn|0|45893M|gattaca15|0|45893M|62209M|gattaca15|0|62209M||||cpu=8,mem=32768,node=1|hisat
1014708.batch|1014708.batch|call-hisat2_ERR2124547_2||3276500K|gattaca17|0|3168784K|2713484K|gattaca17|0|2372776K|7K|gattaca17|0|7K|02:29:32|gattaca17|0|02:24:55|1|2|01:15:53|COMPLETED|0:0|413851K|0|0|0|32768Mn|0|45935M|gattaca17|0|21029M|62269M|gattaca17|0|25028M||||cpu=2,mem=32768,node=1|hisat
1014712.batch|1014712.batch|call-hisat2_ERR2124547_24||5005100K|gattaca16|0|5005100K|2779048K|gattaca16|0|2779048K|7K|gattaca16|0|7K|03:40:39|gattaca16|0|03:40:39|1|24|00:09:38|COMPLETED|0:0|224408K|0|0|0|32768Mn|0|45523M|gattaca16|0|45523M|61681M|gattaca16|0|61681M||||cpu=24,mem=32768,node=1|hisat
1014711.batch|1014711.batch|call-hisat2_ERR2124547_16||4183816K|gattaca16|0|4183816K|2756820K|gattaca16|0|2756820K|7K|gattaca16|0|7K|03:07:51|gattaca16|0|03:07:51|1|16|00:12:17|COMPLETED|0:0|206408K|0|0|0|32768Mn|0|45651M|gattaca16|0|45651M|61862M|gattaca16|0|61862M||||cpu=16,mem=32768,node=1|hisat
1014707.batch|1014707.batch|call-hisat2_ERR2124547_1||3403216K|gattaca19|0|3403216K|2711756K|gattaca19|0|2709708K|7K|gattaca19|0|7K|02:27:12|gattaca19|0|02:27:12|1|1|02:27:26|COMPLETED|0:0|29025K|0|0|0|32768Mn|0|45997M|gattaca19|0|45997M|62358M|gattaca19|0|62358M||||cpu=1,mem=32768,node=1|hisat
1014727.batch|1014727.batch|call-hisat2_ERR2124541_4||3481308K|gattaca17|0|3481308K|2717856K|gattaca17|0|2717856K|7K|gattaca17|0|7K|02:11:04|gattaca17|0|02:11:04|1|4|00:33:35|COMPLETED|0:0|284892K|0|0|0|32768Mn|0|39508M|gattaca17|0|39508M|53132M|gattaca17|0|53132M||||cpu=4,mem=32768,node=1|hisat
1014728.batch|1014728.batch|call-hisat2_ERR2124541_8||3825388K|gattaca15|0|3825388K|2729228K|gattaca15|0|2729228K|7K|gattaca15|0|7K|02:33:46|gattaca15|0|02:33:46|1|8|00:19:53|COMPLETED|0:0|156820K|0|0|0|32768Mn|0|39521M|gattaca15|0|39521M|53151M|gattaca15|0|53151M||||cpu=8,mem=32768,node=1|hisat
1014726.batch|1014726.batch|call-hisat2_ERR2124541_2||3343444K|gattaca19|0|3343444K|2716420K|gattaca19|0|2716420K|7K|gattaca19|0|7K|02:12:33|gattaca19|0|02:12:33|1|2|01:07:02|COMPLETED|0:0|232017K|0|0|0|32768Mn|0|39571M|gattaca19|0|39571M|53222M|gattaca19|0|53222M||||cpu=2,mem=32768,node=1|hisat
1014730.batch|1014730.batch|call-hisat2_ERR2124541_24||4873384K|gattaca16|0|482816K|2776288K|gattaca16|0|17660K|7K|gattaca16|0|7K|03:10:02|gattaca16|0|03:09:31|1|24|00:08:20|COMPLETED|0:0|229227K|0|0|0|32768Mn|0|38952M|gattaca16|0|18273M|52338M|gattaca16|0|21392M||||cpu=24,mem=32768,node=1|hisat
1014729.batch|1014729.batch|call-hisat2_ERR2124541_16||4185224K|gattaca16|0|4185224K|2754740K|gattaca16|0|2754740K|7K|gattaca16|0|7K|02:44:28|gattaca16|0|02:44:28|1|16|00:10:43|COMPLETED|0:0|316173K|0|0|0|32768Mn|0|39444M|gattaca16|0|39444M|53042M|gattaca16|0|53042M||||cpu=16,mem=32768,node=1|hisat
1014725.batch|1014725.batch|call-hisat2_ERR2124541_1||3403216K|gattaca17|0|3403216K|2708388K|gattaca17|0|2708388K|7K|gattaca17|0|7K|02:11:41|gattaca17|0|02:11:41|1|1|02:11:53|COMPLETED|0:0|259817K|0|0|0|32768Mn|0|39578M|gattaca17|0|39578M|53232M|gattaca17|0|53232M||||cpu=1,mem=32768,node=1|hisat
1014721.batch|1014721.batch|call-hisat2_ERR2124543_4||3348184K|gattaca16|0|3348184K|2719204K|gattaca16|0|2719204K|7K|gattaca16|0|7K|02:40:15|gattaca16|0|02:40:15|1|4|00:40:42|COMPLETED|0:0|235533K|0|0|0|32768Mn|0|47207M|gattaca16|0|47207M|64079M|gattaca16|0|64079M||||cpu=4,mem=32768,node=1|hisat
1014722.batch|1014722.batch|call-hisat2_ERR2124543_8||3827052K|gattaca18|0|3827052K|2734248K|gattaca18|0|2734248K|7K|gattaca18|0|7K|03:08:29|gattaca18|0|03:08:29|1|8|00:24:28|COMPLETED|0:0|205936K|0|0|0|32768Mn|0|47021M|gattaca18|0|47021M|63817M|gattaca18|0|63817M||||cpu=8,mem=32768,node=1|hisat
1014720.batch|1014720.batch|call-hisat2_ERR2124543_2||3472852K|gattaca19|0|3472852K|2718508K|gattaca19|0|2718508K|7K|gattaca19|0|7K|02:41:05|gattaca19|0|02:41:05|1|2|01:21:19|COMPLETED|0:0|171434K|0|0|0|32768Mn|0|47158M|gattaca19|0|47158M|64009M|gattaca19|0|64009M||||cpu=2,mem=32768,node=1|hisat
1014724.batch|1014724.batch|call-hisat2_ERR2124543_24||4939564K|gattaca6|0|4939564K|2772760K|gattaca6|0|2772760K|7K|gattaca6|0|7K|05:29:53|gattaca6|0|05:29:53|1|24|00:14:45|COMPLETED|0:0|91985K|0|0|0|32768Mn|0|47055M|gattaca6|0|47055M|63866M|gattaca6|0|63866M||||cpu=24,mem=32768,node=1|hisat
1014723.batch|1014723.batch|call-hisat2_ERR2124543_16||4250760K|gattaca16|0|4250760K|2757040K|gattaca16|0|2757040K|7K|gattaca16|0|7K|03:18:34|gattaca16|0|03:18:34|1|16|00:12:58|COMPLETED|0:0|329408K|0|0|0|32768Mn|0|46867M|gattaca16|0|46867M|63598M|gattaca16|0|63598M||||cpu=16,mem=32768,node=1|hisat
1014719.batch|1014719.batch|call-hisat2_ERR2124543_1||3403216K|gattaca18|0|3403216K|2709132K|gattaca18|0|2709132K|7K|gattaca18|0|7K|02:47:29|gattaca18|0|02:47:29|1|1|02:47:45|COMPLETED|0:0|295545K|0|0|0|32768Mn|0|47194M|gattaca18|0|47194M|64064M|gattaca18|0|64064M||||cpu=1,mem=32768,node=1|hisat
1014733.batch|1014733.batch|call-hisat2_ERR2124542_4||3546844K|gattaca16|0|3546844K|2715972K|gattaca16|0|2715972K|7K|gattaca16|0|7K|01:55:26|gattaca16|0|01:55:26|1|4|00:29:31|COMPLETED|0:0|612105K|0|0|0|32768Mn|0|35309M|gattaca16|0|35309M|47084M|gattaca16|0|47084M||||cpu=4,mem=32768,node=1|hisat
1014734.batch|1014734.batch|call-hisat2_ERR2124542_8||3825132K|gattaca18|0|3825132K|2732688K|gattaca18|0|2732688K|7K|gattaca18|0|7K|01:59:02|gattaca18|0|01:59:02|1|8|00:15:29|COMPLETED|0:0|80471K|0|0|0|32768Mn|0|35183M|gattaca18|0|35183M|46904M|gattaca18|0|46904M||||cpu=8,mem=32768,node=1|hisat
1014732.batch|1014732.batch|call-hisat2_ERR2124542_2||3341780K|gattaca17|0|3341780K|2711048K|gattaca17|0|2711048K|7K|gattaca17|0|7K|02:18:56|gattaca17|0|02:18:56|1|2|01:11:07|COMPLETED|0:0|350968K|0|0|0|32768Mn|0|35411M|gattaca17|0|35411M|47231M|gattaca17|0|47231M||||cpu=2,mem=32768,node=1|hisat
1014736.batch|1014736.batch|call-hisat2_ERR2124542_24||4939308K|gattaca16|0|4939308K|2773244K|gattaca16|0|2773244K|7K|gattaca16|0|7K|02:49:42|gattaca16|0|02:49:42|1|24|00:07:22|COMPLETED|0:0|385761K|0|0|0|32768Mn|0|35344M|gattaca16|0|35344M|47133M|gattaca16|0|47133M||||cpu=24,mem=32768,node=1|hisat
1014735.batch|1014735.batch|call-hisat2_ERR2124542_16||4383884K|gattaca6|0|4383884K|2749668K|gattaca6|0|2749668K|7K|gattaca6|0|7K|02:28:16|gattaca6|0|02:28:16|1|16|00:09:46|COMPLETED|0:0|277773K|0|0|0|32768Mn|0|35171M|gattaca6|0|35171M|46886M|gattaca6|0|46886M||||cpu=16,mem=32768,node=1|hisat
1014731.batch|1014731.batch|call-hisat2_ERR2124542_1||3403216K|gattaca15|0|3403216K|2707084K|gattaca15|0|2707084K|7K|gattaca15|0|7K|01:53:15|gattaca15|0|01:53:15|1|1|01:53:23|COMPLETED|0:0|562071K|0|0|0|32768Mn|0|35441M|gattaca15|0|35441M|47272M|gattaca15|0|47272M||||cpu=1,mem=32768,node=1|hisat
1014703.batch|1014703.batch|call-hisat2_ERR2124546_4||3481308K|gattaca6|0|3481308K|2714444K|gattaca6|0|2714444K|8K|gattaca6|0|8K|02:27:12|gattaca6|0|02:27:12|1|4|00:37:49|COMPLETED|0:0|234230K|0|0|0|32768Mn|0|40125M|gattaca6|0|40125M|53872M|gattaca6|0|53872M||||cpu=4,mem=32768,node=1|hisat
1014704.batch|1014704.batch|call-hisat2_ERR2124546_8||3825388K|gattaca6|0|513692K|2726444K|gattaca6|0|4632K|7K|gattaca6|0|0|02:22:33|gattaca6|0|00:00:00|1|8|00:18:41|COMPLETED|0:0|2700000K|0|0|0|32768Mn|0|39975M|gattaca6|0|0.34M|53656M|gattaca6|0|0.02M||||cpu=8,mem=32768,node=1|hisat
1014702.batch|1014702.batch|call-hisat2_ERR2124546_2||3407316K|gattaca15|0|3407316K|2708764K|gattaca15|0|2708764K|7K|gattaca15|0|7K|01:57:06|gattaca15|0|01:57:06|1|2|00:59:20|COMPLETED|0:0|562458K|0|0|0|32768Mn|0|40175M|gattaca15|0|40175M|53943M|gattaca15|0|53943M||||cpu=2,mem=32768,node=1|hisat
1014706.batch|1014706.batch|call-hisat2_ERR2124546_24||5005100K|gattaca6|0|5005100K|2770840K|gattaca6|0|2770840K|7K|gattaca6|0|7K|04:03:51|gattaca6|0|04:03:51|1|24|00:10:44|COMPLETED|0:0|52074K|0|0|0|32768Mn|0|40047M|gattaca6|0|40047M|53762M|gattaca6|0|53762M||||cpu=24,mem=32768,node=1|hisat
1014705.batch|1014705.batch|call-hisat2_ERR2124546_16||4383884K|gattaca6|0|4383884K|2749120K|gattaca6|0|2749120K|7K|gattaca6|0|7K|02:32:27|gattaca6|0|02:32:27|1|16|00:10:09|COMPLETED|0:0|345409K|0|0|0|32768Mn|0|39749M|gattaca6|0|39749M|53335M|gattaca6|0|53335M||||cpu=16,mem=32768,node=1|hisat
1014701.batch|1014701.batch|call-hisat2_ERR2124546_1||3468752K|gattaca9|0|3468752K|2706116K|gattaca9|0|2706116K|7K|gattaca9|0|7K|01:59:04|gattaca9|0|01:59:04|1|1|01:59:25|COMPLETED|0:0|8332K|0|0|0|32768Mn|0|40233M|gattaca9|0|40233M|54024M|gattaca9|0|54024M||||cpu=1,mem=32768,node=1|hisat
1014715.batch|1014715.batch|call-hisat2_ERR2124545_4||3481308K|gattaca9|0|3481308K|2720176K|gattaca9|0|2719004K|7K|gattaca9|0|7K|03:08:45|gattaca9|0|03:08:45|1|4|00:48:40|COMPLETED|0:0|190848K|0|0|0|32768Mn|0|56126M|gattaca9|0|56126M|76739M|gattaca9|0|76739M||||cpu=4,mem=32768,node=1|hisat
1014716.batch|1014716.batch|call-hisat2_ERR2124545_8||3692264K|gattaca19|0|3692264K|2733772K|gattaca19|0|2733772K|7K|gattaca19|0|7K|03:29:48|gattaca19|0|03:29:48|1|8|00:27:18|COMPLETED|0:0|97135K|0|0|0|32768Mn|0|56077M|gattaca19|0|56077M|76669M|gattaca19|0|76669M||||cpu=8,mem=32768,node=1|hisat
1014714.batch|1014714.batch|call-hisat2_ERR2124545_2||3343444K|gattaca19|0|3343444K|2717692K|gattaca19|0|2713496K|7K|gattaca19|0|7K|03:07:28|gattaca19|0|03:07:28|1|2|01:34:33|COMPLETED|0:0|102992K|0|0|0|32768Mn|0|56243M|gattaca19|0|56243M|76907M|gattaca19|0|76907M||||cpu=2,mem=32768,node=1|hisat
1014718.batch|1014718.batch|call-hisat2_ERR2124545_24||4939564K|gattaca6|0|4939564K|2772996K|gattaca6|0|2772996K|7K|gattaca6|0|7K|06:30:30|gattaca6|0|06:30:30|1|24|00:17:12|COMPLETED|0:0|127269K|0|0|0|32768Mn|0|56249M|gattaca6|0|56249M|76915M|gattaca6|0|76915M||||cpu=24,mem=32768,node=1|hisat
1014717.batch|1014717.batch|call-hisat2_ERR2124545_16||4447756K|gattaca6|0|4447756K|2752816K|gattaca6|0|2752816K|7K|gattaca6|0|7K|03:59:05|gattaca6|0|03:59:05|1|16|00:15:34|COMPLETED|0:0|296053K|0|0|0|32768Mn|0|56091M|gattaca6|0|56091M|76693M|gattaca6|0|76693M||||cpu=16,mem=32768,node=1|hisat
1014713.batch|1014713.batch|call-hisat2_ERR2124545_1||3403216K|gattaca19|0|3403216K|2710028K|gattaca19|0|2710028K|7K|gattaca19|0|7K|02:57:29|gattaca19|0|02:57:29|1|1|02:57:50|COMPLETED|0:0|34571K|0|0|0|32768Mn|0|56220M|gattaca19|0|56220M|76875M|gattaca19|0|76875M||||cpu=1,mem=32768,node=1|hisat
1014745.batch|1014745.batch|call-hisat2_ERR2124548_4||3415128K|gattaca6|0|3415128K|2719216K|gattaca6|0|2719216K|8K|gattaca6|0|8K|02:59:32|gattaca6|0|02:59:32|1|4|00:45:52|COMPLETED|0:0|271311K|0|0|0|32768Mn|0|44537M|gattaca6|0|44537M|60156M|gattaca6|0|60156M||||cpu=4,mem=32768,node=1|hisat
1014746.batch|1014746.batch|call-hisat2_ERR2124548_8||3759852K|gattaca18|0|3759852K|2734740K|gattaca18|0|2734740K|7K|gattaca18|0|7K|02:28:22|gattaca18|0|02:28:22|1|8|00:19:17|COMPLETED|0:0|75715K|0|0|0|32768Mn|0|44351M|gattaca18|0|44351M|59890M|gattaca18|0|59890M||||cpu=8,mem=32768,node=1|hisat
1014744.batch|1014744.batch|call-hisat2_ERR2124548_2||3407316K|gattaca17|0|3407316K|2715960K|gattaca17|0|2711940K|7K|gattaca17|0|7K|02:50:46|gattaca17|0|02:50:46|1|2|01:35:08|COMPLETED|0:0|331847K|0|0|0|32768Mn|0|44516M|gattaca17|0|44516M|60127M|gattaca17|0|60127M||||cpu=2,mem=32768,node=1|hisat
1014748.batch|1014748.batch|call-hisat2_ERR2124548_24||4808104K|gattaca6|0|3548412K|2778712K|gattaca6|0|1550980K|7K|gattaca6|0|7K|04:55:48|gattaca6|0|04:53:17|1|24|00:14:30|COMPLETED|0:0|9463K|0|0|0|32768Mn|0|44184M|gattaca6|0|20399M|59652M|gattaca6|0|24075M||||cpu=24,mem=32768,node=1|hisat
1014747.batch|1014747.batch|call-hisat2_ERR2124548_16||4513548K|gattaca16|0|4513548K|2753116K|gattaca16|0|2753116K|7K|gattaca16|0|7K|03:00:11|gattaca16|0|03:00:11|1|16|00:11:42|COMPLETED|0:0|109700K|0|0|0|32768Mn|0|44480M|gattaca16|0|44480M|60076M|gattaca16|0|60076M||||cpu=16,mem=32768,node=1|hisat
