JobID|JobName|State|Start|End|NCPUS|CPUTime|Elapsed|MaxRSS|
871364|cromwell_9f570abc_SplitNCigarReads_ERR2704713|COMPLETED|2020-03-04T02:17:25|Unknown|4|73-15:07:44|18-09:46:56||
871412|cromwell_3d428961_HaplotypeCaller_ERR2124548|COMPLETED|2020-03-04T03:40:18|Unknown|4|73-09:36:12|18-08:24:03||
871413|cromwell_3d428961_HaplotypeCaller_ERR2124548|COMPLETED|2020-03-04T03:40:21|Unknown|4|73-09:36:00|18-08:24:00||
871415|cromwell_3d428961_HaplotypeCaller_ERR2124548|COMPLETED|2020-03-04T03:40:21|Unknown|4|73-09:36:00|18-08:24:00||
1018695_5|launch_multi_pipeline.sh|FAILED|2020-03-21T17:47:36|2020-03-21T17:48:04|1|00:00:28|00:00:28||
1018695_5.batch|batch|FAILED|2020-03-21T17:47:36|2020-03-21T17:48:04|1|00:00:28|00:00:28|704592K|
1018695_0|launch_multi_pipeline.sh|FAILED|2020-03-21T17:47:36|2020-03-21T17:48:05|1|00:00:29|00:00:29||
1018695_0.batch|batch|FAILED|2020-03-21T17:47:36|2020-03-21T17:48:05|1|00:00:29|00:00:29|674964K|
1018695_1|launch_multi_pipeline.sh|FAILED|2020-03-21T17:47:36|2020-03-21T17:48:05|1|00:00:29|00:00:29||
1018695_1.batch|batch|FAILED|2020-03-21T17:47:36|2020-03-21T17:48:05|1|00:00:29|00:00:29|693220K|
1018695_2|launch_multi_pipeline.sh|FAILED|2020-03-21T17:47:36|2020-03-21T17:48:05|1|00:00:29|00:00:29||
1018695_2.batch|batch|FAILED|2020-03-21T17:47:36|2020-03-21T17:48:05|1|00:00:29|00:00:29|673536K|
1018695_3|launch_multi_pipeline.sh|FAILED|2020-03-21T17:47:36|2020-03-21T17:48:05|1|00:00:29|00:00:29||
1018695_3.batch|batch|FAILED|2020-03-21T17:47:36|2020-03-21T17:48:05|1|00:00:29|00:00:29|670036K|
1018695_4|launch_multi_pipeline.sh|FAILED|2020-03-21T17:47:36|2020-03-21T17:48:04|1|00:00:28|00:00:28||
1018695_4.batch|batch|FAILED|2020-03-21T17:47:36|2020-03-21T17:48:04|1|00:00:28|00:00:28|701220K|
1018701|bash|COMPLETED|2020-03-21T17:51:17|2020-03-21T17:53:29|2|00:04:24|00:02:12|16692K|
1018702|bash|FAILED|2020-03-21T17:53:35|2020-03-21T17:54:30|2|00:01:50|00:00:55|2376K|
1018703_5|launch_multi_pipeline.sh|FAILED|2020-03-21T17:54:47|2020-03-21T21:41:23|1|03:46:36|03:46:36||
1018703_5.batch|batch|FAILED|2020-03-21T17:54:47|2020-03-21T21:41:23|1|03:46:36|03:46:36|2330072K|
1018703_0|launch_multi_pipeline.sh|FAILED|2020-03-21T17:54:47|2020-03-21T21:19:36|1|03:24:49|03:24:49||
1018703_0.batch|batch|FAILED|2020-03-21T17:54:47|2020-03-21T21:19:36|1|03:24:49|03:24:49|1219320K|
1018703_1|launch_multi_pipeline.sh|COMPLETED|2020-03-21T17:54:47|2020-03-22T03:39:10|1|09:44:23|09:44:23||
1018703_1.batch|batch|COMPLETED|2020-03-21T17:54:47|2020-03-22T03:39:10|1|09:44:23|09:44:23|1330572K|
1018703_2|launch_multi_pipeline.sh|COMPLETED|2020-03-21T17:54:47|2020-03-22T02:47:51|1|08:53:04|08:53:04||
1018703_2.batch|batch|COMPLETED|2020-03-21T17:54:47|2020-03-22T02:47:51|1|08:53:04|08:53:04|1299284K|
1018703_3|launch_multi_pipeline.sh|COMPLETED|2020-03-21T17:54:47|2020-03-22T04:21:04|1|10:26:17|10:26:17||
1018703_3.batch|batch|COMPLETED|2020-03-21T17:54:47|2020-03-22T04:21:04|1|10:26:17|10:26:17|1205080K|
1018703_4|launch_multi_pipeline.sh|FAILED|2020-03-21T17:54:47|2020-03-21T20:22:39|1|02:27:52|02:27:52||
1018703_4.batch|batch|FAILED|2020-03-21T17:54:47|2020-03-21T20:22:39|1|02:27:52|02:27:52|1252164K|
1018709|cromwell_fe669ccb_fastp|COMPLETED|2020-03-21T17:55:19|2020-03-21T17:59:00|4|00:14:44|00:03:41||
1018709.batch|batch|COMPLETED|2020-03-21T17:55:19|2020-03-21T17:59:00|4|00:14:44|00:03:41|803832K|
1018710|cromwell_fe669ccb_fastp|COMPLETED|2020-03-21T17:55:19|2020-03-21T17:58:32|4|00:12:52|00:03:13||
1018710.batch|batch|COMPLETED|2020-03-21T17:55:19|2020-03-21T17:58:32|4|00:12:52|00:03:13|753816K|
